age,firstAnimeAppearance,firstMangaAppearance,village,nameMeaning,notableFeatures,notableQuotes,rank,avatarSrc,description,name
,Shippuuden Episode 2,Chapter 266,Sand Village,First Wind Shadow,,,Kage,https://narutoql.s3.amazonaws.com/1stKazekage.jpg,Shodai Kazekage was the first Kazekage of Hidden Sand. It can be assumed he helped found the village.,Shodai Kazekage (First WindShadow)
,Shippuuden Episode 2,Chapter 266,Sand Village,Second Wind Shadow,,,Kage,https://narutoql.s3.amazonaws.com/2ndKazekage.jpg,Nidaime Kazekage was the second Kazekage of Hidden Sand.,Nidaime Kazekage (Second WindShadow)
,Shippuuden Episode 2,Chapter 266,Sand Village,Third Wind Shadow,,,Kage,https://narutoql.s3.amazonaws.com/3rdKaze.jpg,"Sandaime Kazekage was said to be the most gifted Kage in Hidden Sand&apos;s history. He disappeared under mysterious circumstances right before war broke out. He had the ability to change his body&apos;s chakra into magnetic fields. Seeing a previous Shukaku host manipulate sand, Kazekage surmised he could do something similar with tiny pieces of iron. He used this ability to develop ""Satetsu"" or Iron Sand. He could control this sand in any fashion he wished through the magnetic field. This allowed him to form weapons whenever he needed. This jutsu came to be known as Suna&apos;s deadliest, and granted him the honor of being called the greatest Kazekage.",Sandaime Kazekage (Third WindShadow)
40,Naruto Episode 59,Chapter 98,Sand Village,Fourth Wind Shadow,,,Kage,https://narutoql.s3.amazonaws.com/guide/kazekage.jpg,Yondaime Kazekage served as the head of Hidden Sand Village.,Yondaime Kazekage (Fourth WindShadow)
14,Naruto Episode 68,Chapter 115,Sound Village,Kidou=A name; ki=Ghost or devil dou=Child maru=Boys name,"One of the Four Sounds, Personal warrior of Orochimaru, Has six arms",,Unknown (Chuunin Level),https://narutoql.s3.amazonaws.com/Kidoumaru.jpg,"Kidoumaru is one of the Four Sounds, who specialize in the formation of barriers.",Kidoumaru
,Shippuuden Episode 142,Chapter 408,Cloud Village,,,,Unknown,https://narutoql.s3.amazonaws.com/8Squid.jpg,"Killer Bee is a Jinchuuriki from Hidden Cloud. He's the brother of the Raikage and contains the eight-tailed ox-cephalopod demon. Bee is in perfect harmory with his Bijuu, allowing him to fully control the Bijuu power. While he fights he raps and thinks up new lyrics for his rhymes.",Killer Bee
14,Naruto Episode 21,Chapter 35,Sound Village,Kin=As kanji can mean Koto (A musical instrument); Tsuchi=Soil or hammer,,"""I won&apos;t fall for such a stupid jutsu.""",Genin,https://narutoql.s3.amazonaws.com/KinTsuchi.jpg,Kin Tsuchi was one of the three Sound Genin who entered into the Chuunin Exam.,Kin Tsuchi
,,Chapter 525,Cloud Village,Kin=Gold kaku=horn,"""Kin"" (Gold) tattooed on his left shoulder",,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Kinkaku.jpg,"Kinkaku was a legendary shinobi in Hidden Cloud, partnered with his brother Ginkaku the duo formed Kingin Kyoudai, the Gold and Silver Brothers. The two brothers wielded four of the five Hougu (Treasured Tools) which once belonged to the Rikudou Sennin, which were said to kill any normal humans who attempted to use them.",Kinkaku
,,Chapter 515,Rock Village,"Ki=""Yellow"" tsuchi=Can mean clay or earth",,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Kitsuchi.jpg,Kitsuchi is a ninja in Hidden Rock village and the father of Kurotsuchi.,Kitsuchi
,Naruto Episode 135,Chapter 363,Rain Village,Ko=Little nan=South,,,Unknown (High Jounin Level),https://narutoql.s3.amazonaws.com/Konan.jpg,Konan is the lone female member of Akatsuki. She wears a paper flower hair-clip and works alongside Pain.,Konan
,,Chapter 522,Mist Village,Kuri=Japanese chestnut arare=hail | Kushi=Skewer maru=Boys name,Wields Nuibari,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Kushimaru.jpg,"Kuriarare Kushimaru was a former member of the Mist Seven Swordsmen. Kushimaru wielded the Nuibari (Sewing Needle), which could cut through and stitch together anyone he cut down. At some point in the past Kushimaru died and the Nuibari was left for the next generation of swordsmen.",Kuriarare Kushimaru
,Shippuuden Episode 199,Chapter 454,Rock Village,"Kuro=""Black"" tsuchi=Can mean clay or earth",,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Kurotsuchi.jpg,"Kurotsuchi is a ninja in Hidden Rock village, who attended the five Kage summit with the Tsuchikage.",Kurotsuchi
,Naruto Episode 1,Chapter 1,Leaf Village,Kyuubi=Nine Tail; Youko=A bewitching fox,,,,https://narutoql.s3.amazonaws.com/Kyuubi.jpg,"Kyuubi is one of the tailed demons of the ancient world. With each swipe of its tail forests could be leveled. When Kyuubi attacked Konoha, Yondaime Hokage gave his life so it could be stopped and imprisoned within the young baby Uzumaki Naruto.",Kyuubi no Youko (Nine-Tailed Demon Fox)
,Shippuuden Episode 152,Chapter 416,Cloud Village,,,,Unknown (Probable Chuunin),https://narutoql.s3.amazonaws.com/RaikageAttend.jpg,Mabui is a the personal attendant of the Raikage. She sees to his needs and helps the arrangements for his orders.,Mabui
41,Naruto Episode 6,Chapter 9,,,Wife of Fire Country Daimyo.,,,https://narutoql.s3.amazonaws.com/Shijimi.jpg,"Madame Shijimi is the wife of the Fire Country Lord. Like other citizens, she hired Leaf Village ninja to do a job for her. In this case, finding her lost cat Tora.",Madame Shijimi
,Shippuuden Episode 119,Chapter 239,Rock Village,Broad daylight,,,Jounin,https://narutoql.s3.amazonaws.com/Mahiru.jpg,"Approximately 13 years before the start of the Naruto series, Mahiru served as a ninja for Hidden Rock.",Mahiru
,Naruto Episode 95,Chapter 169,Sound Village,,"Highest of snake summons, Very irritable",,,https://narutoql.s3.amazonaws.com/Manda.jpg,"A snake trained in the ninja arts, Manda is the highest of the snake summons.",Manda
17,Naruto Episode 216,Chapter 280,Sand Village,Tangle,,,Genin,https://narutoql.s3.amazonaws.com/Matsuri2.jpg,"Matsuri is a kunoichi in Suna. Before joining the Suna ninja academy she watched her parents murdered. Ever since that incident she held a fear of weapons. When the Sand Siblings conducted a weapons exercise for new ninja students, she was the only student to come to Gaara. She quickly developed a bond with Gaara which was soon exploited by the Shiitenshounin group. After being kidnapped Gaara rushed to her aid to free her.",Matsuri
25,Naruto Episode 6,Chapter 9,Mist Village,Mei=Dark zu=Head,"Wears breath mask and large metal claw on his hand, half of Oni (Demon) Brothers team",,Chuunin (Missing-Nin),https://narutoql.s3.amazonaws.com/Meizu.jpg,"This missing-nin fled Hidden Mist with the missing-nin Momochi Zabuza. He is the younger of the twin Demon Brothers, and wears his poisoned claws on his left right arm.",Meizu
19,Naruto Episode 21,Chapter 58,Rain Village,Early summer rain storm,,,Genin,https://narutoql.s3.amazonaws.com/Midari.jpg,"A Genin from Hidden Rain, Midari participates in the Chuunin Exam.",Midari
30,Naruto Episode 22,Chapter 38,Leaf Village,Might Guy,"Bowl haircut, Has large bushy eyebrows","""Believe in yourself and run forward. Become a strong man I can look at and smile.""",Jounin,https://narutoql.s3.amazonaws.com/Gai.jpg,"A Jounin master, he is the leader of Hyuuga Neji, Rock Lee and TenTen. Guy considers himself to be the eternal rival of fellow Jounin master Hatake Kakashi. Guy possess a strong fighting spirit and is prone to challenging Kakashi, though Kakashi often is aloof to Guy&apos;s boastful rantings.",Might Guy 
,Shippuuden Episode 199,Chapter 456,,"""Toshiro Mifune"" was a famous Japanese actor known for samurai roles",,,,https://narutoql.s3.amazonaws.com/Mifune.jpg,Mifune is the head leader of the Iron Country.,Mifune
24,Naruto Episode 25,Chapter 44,Leaf Village,Mitarashi=A type of sweet rice cake; Anko=Red bean paste,Has tendency for Naruto-like doofish actions.,,Special Jounin,https://narutoql.s3.amazonaws.com/Anko.jpg,This Chuunin Exam examiner presided over the second test.,Mitarashi Anko
72,Naruto Episode 55,Chapter 93,Leaf Village,"""Mito Gate Flame""",,,Jounin,https://narutoql.s3.amazonaws.com/Homura.jpg,"Homura serves on the village council, along with Koharu and the village Kage. This council helps administer the village.",Mitokado Homura
,,Chapter 525,Mist Village,Water Shadow,,,Kage,https://narutoql.s3.amazonaws.com/2ndMizukage.jpg,The Second Mizukage was the head ninja of Hidden Mist Village. He had a long standing rivalry with Muu the Nidaime Tsuchikage. Both men eventually met in battle and killed each other in the process.,Nidaime Mizukage (Second WaterShadow)
,,Chapter 420,Mist Village,Water Shadow,,,Kage,https://narutoql.s3.amazonaws.com/SanbiHost.jpg,"The Fourth Mizukage, born Yagura, was the head ninja of Hidden Mist Village and the host of the Sanbi Bijuu. Under Yondaime&apos;s reign, bloody civil strife was rampant leading to the village earning the name ""Blood Mist"" Village. Mist ninja Momochi Zabuza attempted to assassinate the Mizukage, it is unclear if it was Yagura or the Fifth Mizukage. The Kage escaped harm, and Zabuza was forced to flee the country.",Yondaime Mizukage (Fourth WaterShadow)
,Shippuuden Episode 199,Chapter 454,Mist Village,Water Shadow,,,Kage,https://narutoql.s3.amazonaws.com/Mizukage.jpg,"The Fifth Mizukage, born Terumii Mei, is the head ninja of Hidden Mist Village. She is a young woman prone to misplaced anger concerning her relationship status. She possesses two bloodline abilities, Futton and Youton.",Godaime Mizukage (Fifth WaterShadow)
12,Naruto Episode 20,Chapter 34,Leaf Village,Sprouts,,,Genin,https://narutoql.s3.amazonaws.com/Moegi.jpg,Moegi is Konohamaru&apos;s classmate at the Ninja Academy and a member of his Konohamaru Corps.,Moegi
26,Naruto Episode 7,Chapter 12,Mist Village,,"Carries huge head cleaving sword, Missing-Nin.","""Even the unremarkable Devil of the Hidden Mist can die and become a real devil in Hell!""",Jounin,https://narutoql.s3.amazonaws.com/Zabuza.jpg,"A missing-nin from the Mist Country, Zabuza fled his country after he attempted to assassinate the Mizukage and take over the country. After arriving in the Wave Country, Zabuza reluctantly started working for a man named Gat&#xFFFD; in order to make fast money and help his enterprises. Gat&#xFFFD; wanted Zabuza to stop the construction of a bridge which posed a danger to his business.",Momochi Zabuza 
31,Naruto Episode 23,Chapter 40,Leaf Village,"""Forest Snoring""",Has many facial scars,,Special Jounin,https://narutoql.s3.amazonaws.com/Ibiki.jpg,This Chuunin Exam examiner presided over the first test.,Morino Ibiki
17,Naruto Episode 36,Chapter 60,Rain Village,Mu=Dream bi=Fire,,,Genin,https://narutoql.s3.amazonaws.com/Mubi.jpg,"A Genin from Hidden Rain, Mubi participates in the Chuunin Exam.",Mubi
,,Chapter 522,Mist Village,"Mu=Lacking, speechless nashi=Japanese pear tree | Jin=Great pachi=Eight",Wields Nuibari,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Jinpachi.jpg,"Munashi Jinpachi was a former member of the Mist Seven Swordsmen. Jinpachi wielded the Shibuki (Splash), which could cut through and explode using a built in explosive tag scroll. At some point in the past Jinpachi died and the Shibuki was left for the next generation of swordsmen.",Munashi Jinpachi
35,Naruto Episode 55,Chapter 93,Leaf Village,Namiashi=Slow march,Large scar on his left cheek.,,Special Jounin,https://narutoql.s3.amazonaws.com/Raidou.jpg,Raidou served as an assistant to the Third Hokage during the third test of the Chuunin Exam.,Namiashi Raidou
41,Naruto Episode 59,Chapter 137,Leaf Village,"Nara (Prefecture), Shika=Deer, &apos;Shikaku&apos; also means Assassin",,"""Even the roughest woman is tender to the guy she loves.""",Jounin,https://narutoql.s3.amazonaws.com/Shikaku.jpg,"A Jounin from Leaf Village, Shikaku hails from the Nara Clan, known for their ability to control their shadow. Nara Shikaku is the father of Nara Shikamaru. He often gets bossed around by his wife, to the disappointment of Shikamaru. Though Shikaku tries to explain the ways of women to his son.",Nara Shikaku
16,Naruto Episode 1,Chapter 34,Leaf Village,"Nara (Prefecture), Shika=Deer, Maru=Boys name","Lazy, Finds everything to be troublesome","""How troublesome.""",Chuunin - Team 10,https://narutoql.s3.amazonaws.com/Shikamaru.jpg,"A Genin from Leaf Village, Shikamaru hails from the Nara Clan, known for their ability to control their shadow.",Nara Shikamaru 
39,Naruto Episode 111,Chapter 182,Leaf Village,,,,Chuunin,https://narutoql.s3.amazonaws.com/Nara2.jpg,"Yoshino is the mother of Nara Shikamaru and the wife of Nara Shikaku. Though she loves the men in her life, she is rather strict when acting both as a mother and wife. This has caused both Shikaku and Shikamaru to be wary of her.",Nara Yoshino
12,Naruto Episode 91,Chapter 159,Leaf Village,"""Rope Tree""",,,Genin,https://narutoql.s3.amazonaws.com/Nawaki.jpg,Nawaki was the little brother of the Sannin Tsunade.,Nawaki
,Shippuuden Episode 72,Chapter 313,Cloud Village,,,,,https://narutoql.s3.amazonaws.com/Nibi2.jpg,"Nibi is one of the ""bijuu"", a tailed beast of the ancient world. Seeking a way to create a ninja with a large amount of chakra that would be an unstoppable machine, the Nibi was placed inside Hidden Cloud kunoichi Ni&apos;i Yugito. Nibi has been refered to as an ""ikiryou"" or living ghost.",Nibi (Two-Tailed Demon Cat)
29,Shippuuden Episode 71,312,Cloud Village,,,,Jounin,https://narutoql.s3.amazonaws.com/Yugito.jpg,Ni&apos;i Yugito is a kunoichi from Hidden Cloud. She appears to be in her twenties. She contains the two-tailed cat demon.,Ni'i Yugito
,Shippuuden Episode 119,Chapter 239,Leaf Village,"Companion, phosphorus, cold, a name",Medical-Nin,,Chuunin,https://narutoql.s3.amazonaws.com/Rin.jpg,"Nohara Rin was a teammate of Uchiha Obito and Hatake Kakashi under the Fourth Hokage. During a mission in the war against Hidden Rock, she was able to use her healing skills to heal her teammates&apos; injuries.",Nohara Rin
17,Naruto Episode 28,Chapter 46,Rain Village,"""Hazy""",,Lucky!,Genin,https://narutoql.s3.amazonaws.com/Oboro.jpg,"A Genin from Hidden Rain, Oboro participates in the Chuunin Exam.",Oboro
,Shippuuden Episode 156,Chapter 417,Cloud Village,"Feelings, Hope, Serious, Important",,,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Omoi.jpg,"Omoi is a ninja from Cloud Village. Omoi teases his teammates Karui and Samui, much to Karui&apos;s displeasure. He and his team are trusted ninja under the Raikage, being sent on many varied kinds of missions. Both he and Karui were trained under Killer Bee, one of the Cloud Jinchuuriki.",Omoi
,Shippuuden Episode 127,Chapter 376,Leaf Village,,Can see the future,,,https://narutoql.s3.amazonaws.com/ElderToad.jpg,"Oogamasennin, ""Great Toad Sage"",  was the leader of the toads approximately 30 years before the series start.",Oogamasennin
,Shippuuden Episode 203,Chapter 462,,,,,,https://narutoql.s3.amazonaws.com/RikudouYS.jpg,"Ashura was the youngest son of Ootsutsuki Hagoromo, the Rikudou Sennin.",Ootsutsuki Ashura
,Shippuuden Episode 128,Chapter 373,,,,,,https://narutoql.s3.amazonaws.com/Rikudou.jpg,Ootsutsuki Hagoromo was regarded as the original modern shinobi. His Rinnegan Doujutsu was regarded as the most venerable of the three great Doujutsu. As the original shinobi it was said he created modern Ninjutsu. The Rinnegan was regarded as a god of creation when the world was racked with chaos and as a weapon of destruction which could return everything to nothingness.,Ootsutsuki Hagoromo
,Shippuuden Episode 203,Chapter 462,,,,,,https://narutoql.s3.amazonaws.com/RikudouES.jpg,"Indra was the eldest son of Ootsutsuki Hagoromo, the Rikudou Sennin.",Ootsutsuki Indra
,Shippuuden Episode NA,Chapter 646,,,,,,https://narutoql.s3.amazonaws.com/Kaguya.jpg,Ootsutsuki Kaguya was the mother of the man who would become the Rikudou Sennin.,Ootsutsuki Kaguya
54,Naruto Episode 27,Chapter 46,Sound Village,"Orochimaru=Villain in mythical Jiraiya tale, Orochi=Large Serpent, Maru=Male Name","Legendary Sannin, Summons snakes, Student of Third Hokage","Do you know the happiness and sense of accomplishment you gain when you have a chance to hurt the one you called ""master""?",Potential Jounin (Kage Level Skill),https://narutoql.s3.amazonaws.com/Orochimaru2.jpg,"One of the Legendary Sannin, Orochimaru left Leaf village to form his own hidden village called Hidden Sound.",Orochimaru 
,Naruto Episode 17,Chapter 29,Leaf Village,,"Keen sense of smell, Member of Kakashi&apos;s Nin-Dog pack.","""Hey missy, don&apos;t call me a cute little doggy!""",,https://narutoql.s3.amazonaws.com/Pakkun.jpg,"A pug dog trained in the ninja arts, Pakkun is a personal summon.",Pakkun
,,Chapter 515,Sand Village,,,,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Pakura.jpg,"Pakura was a kunoichi from Hidden Sand and a member of the Shakuton using clan. At some point in the past, Pakura died.",Pakura
,Shippuuden Episode 114,Chapter 363,Rain Village,,Wears multiple piercings,,Unknown (Kage Level Skill),https://narutoql.s3.amazonaws.com/AkatsukiLeader.jpg,Pain acts as the leader of Akatsuki. He has been seen to direct the actions of other members.,Pain 
,,Chapter 527,Cloud Village,Lightning Shadow,,,Kage,https://narutoql.s3.amazonaws.com/2ndRaikage.jpg,"Nidaime Raikage was the second Raikage of Hidden Cloud. When Nidaime Raikage met Nidaime Hokage to form an alliance between their villages, the brothers Kinkaku and Ginkaku launched a coup detat against the Raikage.",Nidaime Raikage (Second LightningShadow)
,,Chapter 494,Cloud Village,Lightning Shadow,,,Kage,https://narutoql.s3.amazonaws.com/3rdRaikage.jpg,"Sandaime Raikage, was once the head ninja of Hidden Cloud Village. He is the father of A and taught Darui the secrets of Black Lightning. At some point in the past, he died, sacrificing himself against a reported 10,000 enemy shinobi to allow his comrades time to escape.",Sandaime Raikage (Third LightningShadow)
,Shippuuden Episode 152,Chapter 416,Cloud Village,Lightning Shadow,,,Kage,https://narutoql.s3.amazonaws.com/Raikage.jpg,"Yondaime Raikage, real name A, is the head ninja of Hidden Cloud Village. He is the blood brother of Killer Bee, the Hachibi Jinchuuriki. In the past, a Raikage dispatched a squad to secretly obtain the Hyuuga&apos;s Byakugan. It is unknown if this was the same Raikage that is in power now.",Yondaime Raikage (Fourth LightningShadow)
,,Chapter 522,Mist Village,"Ringo=""Apple Tree"" | Ame=Rain yu=wherefore ri=benefit",Wields Kiba swords,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Ameyuri.jpg,"Ringo Ameyuri was a former member of the Mist Seven Swordsmen. Ameyuri wielded the Kiba ""Fang"" swords, known for being the sharpest swords through their ability to generate Raiton. At some point in the past Ameyuri died and the Kiba swords were passed on to a new swordsmen.",Ringo Ameyuri
17,Naruto Episode 21,Chapter 36,Leaf Village,,"Crush on Haruno Sakura, Unable to use Genjutsu or Ninjutsu.","""Sakura... Love."" *winks hearts at Sakura much to her disgust*",Chuunin,https://narutoql.s3.amazonaws.com/RockLee.jpg,"A Genin from the village of Konoha, Rock Lee wanted above all else than to become a ninja. Unfortunately Lee was unable to use Ninjutsu or Genjutsu, forcing him to train and excel in hand to hand Taijutsu. Being placed on the same team as the Bloodline genius Hyuuga Neji also motivated Lee. Neji saw those with a genius ability as better than a normal ninja. This motivated Lee to prove that hard work and training could overcome genius and make him the better ninja.",Rock Lee 
,Shippuuden Episode 151,Second Artbook,Mist Village,,,,,https://narutoql.s3.amazonaws.com/Rokubi.jpg,"Rokubi is one of the ""bijuu"", a tailed beast of the ancient world. The Rokubi was housed inside Mist Village ninja named Utakata. The demon takes the form of a slimy slug.",Rokubi (Six-Tailed Demon)
,Shippuuden Episode 121,Chapter 353,Rock Village,"Rou=""Old man"" shi=""purple""",,,,https://narutoql.s3.amazonaws.com/YonbiHost.jpg,"Roushi was the host of the four-tailed demon. It is unknown what animal the Yonbi was. He was imbued with the Yonbi at a young age by Hidden Rock. At some point he decided to leave his village behind. He travelled the world to try and understand his powers. He used his Bijuu to create Youton (Lava Element) Ninjutsu, a combination of Earth and Fire Elements that created a lava which could melt through anything.",Roushi
17,Shippuuden Episode 1,Chapter 281,Leaf Village,As kanji can mean,"Pale in appearance, insults others, has trouble with his emotions, can bring his paintings alive","""Your power... it is weak. Do you even have a penis?""",,https://narutoql.s3.amazonaws.com/Sai.jpg,"A young mysterious ninja, Sai became one of Naruto&apos;s teammates after the two and a half year time-skip. ""Sai"" is not actually the ninja&apos;s name either, being given that name by ANBU Root leader Danzou.",Sai 
14,Naruto Episode 68,Chapter 115,Sound Village,Sa=Left [A &apos;sakon&apos; was a right-hand man position in the shogunate],"One of the Four Sounds, Personal warrior of Orochimaru","""God Dammit! This is no ordinary piss!""",Unknown (Potential Chuunin),https://narutoql.s3.amazonaws.com/Sakon.jpg,"One of the Four Sounds, who specialize in the formation of barriers.",Sakon
,Shippuuden Episode 156,Chapter 417,Cloud Village,Cold weather,,,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Samui.jpg,Samui is a kunoichi from Cloud Village. She and her team were dispatched to Konoha to inform them they were going to hunt for Uchiha Sasuke.,Samui
,Shippuuden Episode 92,Chapter 317,Mist Village,,,,,https://narutoql.s3.amazonaws.com/Sanbi.jpg,"Sanbi is one of the ""bijuu"", a tailed beast of the ancient world. Seeking a way to create a ninja with a large amount of chakra that would be an unstoppable machine, the demons were placed inside shinobi. At some point in the past, it was housed within a ninja from Hidden Mist.",Sanbi (Three-Tailed Demon Turtle)
31,Naruto Episode 20,Chapter 34,Leaf Village,Sarutobi=Flying Monkey [Also a legendary ninja]; Asuma=A name,Always seen smoking a cigarette,"""I guess we were bound to meet in the future. Now I have the task of taking you on!""",Jounin,https://narutoql.s3.amazonaws.com/Asuma.jpg,"A Jounin master, he is the leader of Team 10 (Nara Shikamaru, Yamaka Ino, Akimichi Chouji). Although normally seen smoking, Asuma can quickly dispatch his foes with his knives when the situation warrants.",Sarutobi Asuma 
,,Chapter 500,Leaf Village,Biwako=A name,,,,https://narutoql.s3.amazonaws.com/Biwako.jpg,Sarutobi Biwako was the wife of Sarutobi Hiruzen and the mother of Sarutobi Asuma.,Sarutobi Biwako
12,Naruto Episode 2,Chapter 2,Leaf Village,Konoha=Tree leaves maru=Boys name,Leader of Konohamaru Corps,,Genin,https://narutoql.s3.amazonaws.com/Konohamaru2.jpg,"Sarutobi Konohamaru is the grandson of the Third Hokage Sarutobi Hiruzen. The status of Konohamaru&apos;s parents is currently unknown. While living in the village, Konohamaru was friends with Moegi and Udon. This relationship as comrades would continue throughout their ninja career.",Sarutobi Konohamaru
35,Shippuuden Episode 2,Chapter 247,Sand Village,Scorpion,"Puppet Master, Also known as ""Akasuna no Sasori"" (Sasori of the Red Sand)","""You insist on calling those fireworks of yours art? True art endures the ages... beauty everlasting.""",Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/country/SunaMini.gif,"Sasori is a missing-nin from Hidden Sand Village who serves as a member of the Akatsuki Organization. He is very large in size, appearing to squat low to the ground when he slides across it.",Sasori
,Shippuuden Episode 165,Second Artbook,Waterfall Village,,,,,https://narutoql.s3.amazonaws.com/Shichibi.jpg,"Shichibi is one of the ""bijuu"", a tailed beast of the ancient world. The Shichibi was housed inside a Hidden Waterfall ninja named Fuu. The demon takes the form of a beetle with six wings and one cerci acting as its tails.",Shichibi (Seven-Tailed Demon Rhino Beetle)
,Shippuuden Episode 199,Chapter 454,Cloud Village,"Possibly ""C""",,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Shii.jpg,Shii is a ninja in Hidden Cloud village. He attended the five Kage summit with the Raikage.,Shii
,Shippuuden Episode 127,Chapter 376,Leaf Village,"Stripe, island",,,,https://narutoql.s3.amazonaws.com/MaToad.jpg,"Shima was the wife of the ""Pa"" toad sage, Fukasaku. Together they acted as assistants to the Elder toad sage.",Shima
72,Shippuuden Episode 32,Chapter 281,Leaf Village,"Shi=Intention, plan, resolve mura=village; Dan=Group, steps zou=Storehouse, hide, possess",Bandages over his right eye,,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Danzou.jpg,"An elder ninja of Konoha, Shimura Danzou was a war hawk who operated in opposition to Sandaime Hokage. Within the ANBU corps, he created and led the training division known as ""Ne"" or Root, which was detached from the main ANBU. The Root group was disbanded and he lost his position. He still is a power player though, with his own influence within the village.",Shimura Danzou
34,Naruto Episode 55,Chapter 34,Leaf Village,"Shiranui=Lights on the Sea; Genma=Magical Illusion""",Almost always chewing on long toothpick.,"""The power to believe in yourself, that will become the power to change fate.""",Special Jounin,https://narutoql.s3.amazonaws.com/Gemma.jpg,"A Jounin from the villaga of Konoha, Genma is the examiner for the third Chunin exam test.",Shiranui Genma
31,Naruto Episode 85,Chapter 148,Leaf Village,,,,Jounin,https://narutoql.s3.amazonaws.com/Shizune.jpg,Shizune is the apprentice to the Leaf Sannin Tsunade. She is trained in many medical jutsu and carries the pig familiar Ton-Ton.,Shizune
,Naruto Episode 78,Chapter 134,Sand Village,,,,,https://narutoql.s3.amazonaws.com/Shukaku2.jpg,"Shukaku is one of the ""bijuu"", a tailed beast of the ancient world. Seeking a way to create a ninja with a large amount of chakra that would be an unstoppable machine, the Kazekage had Shukaku imbued within his unborn son.",Shukaku the Ichibi (One-Tailed Demon Tanuki)
19,Naruto Episode 21,Chapter 58,Rain Village,A type of shower in early winter,Two long scars running the length of his right cheek and over his right eye,,Genin,https://narutoql.s3.amazonaws.com/Shigure.jpg,"A Genin from Hidden Rain, Shigure participates in the Chuunin Exam.",Shigure
,Shippuuden Episode 50,Chapter 310,Leaf Village,,,,Unknown (Potential Chuunin),https://narutoql.s3.amazonaws.com/SaiBro.jpg,"As a young orphan Shin was taken in by the ANBU Root organization. Trained in secret, he served the wishes of Danzou. In Root he grew close to another young orphan known as Sai. Though they were not blood brothers, Sai considered him the closest thing to a real brother he could ever have.",Shin
42,Naruto Episode 61,Chapter 102,Cloud Village,,,,Jounin,https://narutoql.s3.amazonaws.com/SinobiGashir.jpg,"A head ninja from Cloud Village, this man came to Konoha to sign a peace treaty between the two nations 9 years previously.",Shinobi Gashira (Head Ninja)
,,Chapter 507,Mist Village,"Suika=Watermelon zan=Mountain | Fugu=Puffer fish ki=Demon, ghost",Wields Nuibari,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Fuguki.jpg,"Suikazan Fuguki was a former member of the Mist Seven Swordsmen and wielder of Samehada. For a Secret Intel Squad mission, he directed his subordinate Hoshigaki Kisame to protect the information they gathered at all costs, even if it meant killing them.",Suikazan Fuguki
31,Naruto Episode 41,Chapter 71,Leaf Village,"Suzume=Sparrow; Namida=Tears, sympathy",,,Chuunin,https://narutoql.s3.amazonaws.com/Suzume.jpg,"A Ninja Academy teacher, Suzume Namida taught a young Sakura and Ino the importance of a female ninja being able to pass herself off as a normal woman when undercover.<!--SPOILER END-->",Suzume Namida
,Shippuuden Episode 119,Chapter 241,Rock Village,"Deposit, Accumlate, Capacity",,,Jounin,https://narutoql.s3.amazonaws.com/Stone1.jpg,"Approximately 13 years before the start of the Naruto series, Taiseki served as a ninja for Hidden Rock.",Taiseki
27,Naruto Episode 34,Chapter 57,Leaf Village,Tatami=A type of straw floor mat; Iwashi=Sardine,Chuunin Examiner,,Chuunin,https://narutoql.s3.amazonaws.com/Iwashi.jpg,Iwashi helped preside over the Chuunin Exam. He and the other general examiners were elite Chuunin.,Tatami Iwashi
14,Naruto Episode 68,Chapter 115,Sound Village,"A name, Ta=A reason, Yu=Frequent, Ya=To be classical","One of the Four Sounds, Personal warrior of Orochimaru, Tendency to use filthy language",,Unknown (Potential Chuunin),https://narutoql.s3.amazonaws.com/Tayuya.jpg,"One of the Four Sounds, who specialize in the formation of barriers.",Tayuya
59,Naruto Episode 6,Chapter 9,,,"Tendency to use ""super"" adjective when describing things.",,,https://narutoql.s3.amazonaws.com/Tazuna.jpg,Tazuna hired Team 7 to protect him on his trip home to the Wave Country.,Tazuna
19,Naruto Episode 20,Chapter 35,Sand Village,"A traditional Japanese handball game, A name",Carries large fan,,Jounin,https://narutoql.s3.amazonaws.com/Temari.jpg,"A Genin from the village of Sand, Temari is the older sister of Gaara and Kankurou. All three siblings participate in the Chuunin Exam.",Temari 
17,Naruto Episode 21,Chapter 36,Leaf Village,"Moving about, spot","Idolizes the Sannin Tsunade, Deadly accurate when throwing edged weapons.",,Chuunin,https://narutoql.s3.amazonaws.com/TenTen16.jpg,"A Genin from the village of Konoha, Tenten has deadly accuracy with her kunai and shuriken.",TenTen 
